Id,ActivityDate,ActivityDay,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,Tue,13162.0,5.28,25.0,13.0,328.0,728.0,1985.0
1503960366,4/13/2016,Wed,10735.0,4.33,21.0,19.0,217.0,776.0,1797.0
1503960366,4/14/2016,Thu,10460.0,4.19,30.0,11.0,181.0,1218.0,1776.0
1503960366,4/15/2016,Fri,9762.0,3.9,29.0,34.0,209.0,726.0,1745.0
1503960366,4/16/2016,Sat,12669.0,5.07,36.0,10.0,221.0,773.0,1863.0
1503960366,4/17/2016,Sun,9705.0,4.03,38.0,20.0,164.0,539.0,1728.0
1503960366,4/18/2016,Mon,13019.0,5.34,42.0,16.0,233.0,1149.0,1921.0
1503960366,4/19/2016,Tue,15506.0,6.14,50.0,31.0,264.0,775.0,2035.0
1503960366,4/20/2016,Wed,10544.0,4.15,28.0,12.0,205.0,818.0,1786.0
1503960366,4/21/2016,Thu,9819.0,3.94,19.0,8.0,211.0,838.0,1775.0
1503960366,4/22/2016,Fri,12764.0,5.05,66.0,27.0,130.0,1217.0,1827.0
1503960366,4/23/2016,Sat,14371.0,5.62,41.0,21.0,262.0,732.0,1949.0
1503960366,4/24/2016,Sun,10039.0,3.98,39.0,5.0,238.0,709.0,1788.0
1503960366,4/25/2016,Mon,15355.0,6.09,73.0,14.0,216.0,814.0,2013.0
1503960366,4/26/2016,Tue,13755.0,5.46,31.0,23.0,279.0,833.0,1970.0
1503960366,4/27/2016,Wed,18134.0,7.59,78.0,11.0,243.0,1108.0,2159.0
1503960366,4/28/2016,Thu,13154.0,5.3,48.0,28.0,189.0,782.0,1898.0
1503960366,4/29/2016,Fri,11181.0,4.44,16.0,12.0,243.0,815.0,1837.0
1503960366,4/30/2016,Sat,14673.0,5.75,52.0,34.0,217.0,712.0,1947.0
1503960366,5/1/2016,Sun,10602.0,4.23,33.0,35.0,246.0,730.0,1820.0
1503960366,5/2/2016,Mon,14727.0,6.03,41.0,15.0,277.0,798.0,2004.0
1503960366,5/3/2016,Tue,15103.0,6.0,50.0,24.0,254.0,816.0,1990.0
1503960366,5/4/2016,Wed,11100.0,4.44,36.0,22.0,203.0,1179.0,1819.0
1503960366,5/5/2016,Thu,14070.0,5.53,45.0,24.0,250.0,857.0,1959.0
1503960366,5/6/2016,Fri,12159.0,4.99,24.0,6.0,289.0,754.0,1896.0
1503960366,5/7/2016,Sat,11992.0,4.79,37.0,46.0,175.0,833.0,1821.0
1503960366,5/8/2016,Sun,10060.0,4.09,44.0,8.0,203.0,574.0,1740.0
1503960366,5/9/2016,Mon,12022.0,4.8,46.0,11.0,206.0,835.0,1819.0
1503960366,5/10/2016,Tue,12207.0,4.83,46.0,31.0,214.0,746.0,1859.0
1503960366,5/11/2016,Wed,12770.0,5.05,36.0,23.0,251.0,669.0,1783.0
1624580081,4/12/2016,Tue,8163.0,3.3,0.0,0.0,146.0,1294.0,1432.0
1624580081,4/13/2016,Wed,7007.0,2.83,0.0,0.0,148.0,1292.0,1411.0
1624580081,4/14/2016,Thu,9107.0,3.68,0.0,0.0,236.0,1204.0,1572.0
1624580081,4/15/2016,Fri,1510.0,0.61,0.0,0.0,96.0,1344.0,1344.0
1624580081,4/16/2016,Sat,5370.0,2.17,0.0,0.0,176.0,1264.0,1463.0
1624580081,4/17/2016,Sun,6175.0,2.52,15.0,22.0,127.0,1276.0,1554.0
1624580081,4/18/2016,Mon,10536.0,4.6,17.0,7.0,202.0,1214.0,1604.0
1624580081,4/19/2016,Tue,2916.0,1.18,0.0,0.0,141.0,1299.0,1435.0
1624580081,4/20/2016,Wed,4974.0,2.01,0.0,0.0,151.0,1289.0,1446.0
1624580081,4/21/2016,Thu,6349.0,2.57,0.0,0.0,186.0,1254.0,1467.0
1624580081,4/22/2016,Fri,4026.0,1.63,0.0,0.0,199.0,1241.0,1470.0
1624580081,4/23/2016,Sat,8538.0,3.45,0.0,0.0,227.0,1213.0,1562.0
1624580081,4/24/2016,Sun,6076.0,2.45,16.0,18.0,185.0,1221.0,1617.0
1624580081,4/25/2016,Mon,6497.0,2.62,0.0,0.0,202.0,1238.0,1492.0
1624580081,4/26/2016,Tue,2826.0,1.14,0.0,0.0,140.0,1300.0,1402.0
1624580081,4/27/2016,Wed,8367.0,3.38,17.0,36.0,154.0,1233.0,1670.0
